1;Albert Park Grand Prix Circuit;Melbourne;Australia;10
2;Sepang International Circuit;Kuala Lumpur;Malaysia;18
3;Bahrain International Circuit;Sakhir;Bahrain;7
4;Circuit de Barcelona-Catalunya;Montmeló;Spain;109
5;Istanbul Park;Istanbul;Turkey;130
6;Circuit de Monaco;Monte-Carlo;Monaco;7
7;Circuit Gilles Villeneuve;Montreal;Canada;13
8;Circuit de Nevers Magny-Cours;Magny Cours;France;228
9;Silverstone Circuit;Silverstone;UK;153
10;Hockenheimring;Hockenheim;Germany;103
11;Hungaroring;Budapest;Hungary;264
12;Valencia Street Circuit;Valencia;Spain;4
13;Circuit de Spa-Francorchamps;Spa;Belgium;401
14;Autodromo Nazionale di Monza;Monza;Italy;162
15;Marina Bay Street Circuit;Marina Bay;Singapore;18
16;Fuji Speedway;Oyama;Japan;583
17;Shanghai International Circuit;Shanghai;China;5
18;Autódromo José Carlos Pace;São Paulo;Brazil;785
19;Indianapolis Motor Speedway;Indianapolis;USA;223
20;Nürburgring;Nürburg;Germany;578
21;Autodromo Enzo e Dino Ferrari;Imola;Italy;37
22;Suzuka Circuit;Suzuka;Japan;45
80;Las Vegas Strip Street Circuit;Las Vegas;United States;642
24;Yas Marina Circuit;Abu Dhabi;UAE;3
25;Autódromo Juan y Oscar Gálvez;Buenos Aires;Argentina;8
26;Circuito de Jerez;Jerez de la Frontera;Spain;37
27;Autódromo do Estoril;Estoril;Portugal;130
28;Okayama International Circuit;Okayama;Japan;266
29;Adelaide Street Circuit;Adelaide;Australia;58
30;Kyalami;Midrand;South Africa;1460
31;Donington Park;Castle Donington;UK;88
32;Autódromo Hermanos Rodríguez;Mexico City;Mexico;2227
33;Phoenix street circuit;Phoenix;USA;345
34;Circuit Paul Ricard;Le Castellet;France;432
35;Korean International Circuit;Yeongam County;Korea;0
36;Autódromo Internacional Nelson Piquet;Rio de Janeiro;Brazil;1126
37;Detroit Street Circuit;Detroit;USA;177
38;Brands Hatch;Kent;UK;145
39;Circuit Park Zandvoort;Zandvoort;Netherlands;6
40;Zolder;Heusden-Zolder;Belgium;36
41;Dijon-Prenois;Dijon;France;484
42;Fair Park;Dallas;USA;139
43;Long Beach;California;USA;12
44;Las Vegas Street Circuit;Nevada;USA;639
45;Jarama;Madrid;Spain;609
46;Watkins Glen;New York State;USA;485
47;Scandinavian Raceway;Anderstorp;Sweden;153
48;Mosport International Raceway;Ontario;Canada;332
49;Montjuïc;Barcelona;Spain;79
50;Nivelles-Baulers;Brussels;Belgium;139
51;Charade Circuit;Clermont-Ferrand;France;790
52;Circuit Mont-Tremblant;Quebec;Canada;214
53;Rouen-Les-Essarts;Rouen;France;81
54;Le Mans;Le Mans;France;67
55;Reims-Gueux;Reims;France;88
56;Prince George Circuit;Eastern Cape Province;South Africa;15
57;Zeltweg;Styria;Austria;676
58;Aintree;Liverpool;UK;20
59;Circuito da Boavista;Oporto;Portugal;28
60;Riverside International Raceway;California;USA;470
61;AVUS;Berlin;Germany;53
62;Monsanto Park Circuit;Lisbon;Portugal;158
63;Sebring International Raceway;Florida;USA;18
64;Ain Diab;Casablanca;Morocco;19
65;Pescara Circuit;Pescara;Italy;129
66;Circuit Bremgarten;Bern;Switzerland;551
67;Circuit de Pedralbes;Barcelona;Spain;85
68;Buddh International Circuit;Uttar Pradesh;India;194
69;Circuit of the Americas;Austin;USA;161
70;Red Bull Ring;Spielberg;Austria;678
71;Sochi Autodrom;Sochi;Russia;2
73;Baku City Circuit;Baku;Azerbaijan;-7
75;Autódromo Internacional do Algarve;Portimão;Portugal;108
76;Autodromo Internazionale del Mugello;Mugello;Italy;255
77;Jeddah Corniche Circuit;Jeddah;Saudi Arabia;15
78;Losail International Circuit;Al Daayen;Qatar;12
79;Miami International Autodrome;Miami;USA;0
